"Datum","Year","Sesson","Sum(Sum(SA_Nächtigungen))"
"1984-12-01",1984,"Winter_Haupt",6404427
"1985-01-01",1985,"Winter_Haupt",9657824
"1985-02-01",1985,"Winter_Haupt",11831955
"1985-03-01",1985,"Winter_Haupt",9950850
"1985-04-01",1985,"Übergang",5665570
"1985-05-01",1985,"Sommer_Neben",5315253
"1985-06-01",1985,"Sommer_Neben",9534948
"1985-07-01",1985,"Sommer_Haupt",18688299
"1985-08-01",1985,"Sommer_Haupt",19985511
"1985-09-01",1985,"Sommer_Neben",10040563
"1985-10-01",1985,"Übergang",4135856
"1985-11-01",1985,"Übergang",1803009
"1985-12-01",1985,"Winter_Haupt",5976523
"1986-01-01",1986,"Winter_Haupt",9353079
"1986-02-01",1986,"Winter_Haupt",12272094
"1986-03-01",1986,"Winter_Haupt",12261836
"1986-04-01",1986,"Übergang",4459233
"1986-05-01",1986,"Sommer_Neben",5585207
"1986-06-01",1986,"Sommer_Neben",8105127
"1986-07-01",1986,"Sommer_Haupt",18659976
"1986-08-01",1986,"Sommer_Haupt",20376473
"1986-09-01",1986,"Sommer_Neben",10266423
"1986-10-01",1986,"Übergang",4221277
"1986-11-01",1986,"Übergang",1809327
"1986-12-01",1986,"Winter_Haupt",6251153
"1987-01-01",1987,"Winter_Haupt",9716401
"1987-02-01",1987,"Winter_Haupt",11950943
"1987-03-01",1987,"Winter_Haupt",10970766
"1987-04-01",1987,"Übergang",6287739
"1987-05-01",1987,"Sommer_Neben",4939313
"1987-06-01",1987,"Sommer_Neben",9259568
"1987-07-01",1987,"Sommer_Haupt",18318425
"1987-08-01",1987,"Sommer_Haupt",19310785
"1987-09-01",1987,"Sommer_Neben",10422136
"1987-10-01",1987,"Übergang",4570293
"1987-11-01",1987,"Übergang",1874872
"1987-12-01",1987,"Winter_Haupt",6063914
"1988-01-01",1988,"Winter_Haupt",9205502
"1988-02-01",1988,"Winter_Haupt",12921950
"1988-03-01",1988,"Winter_Haupt",12196238
"1988-04-01",1988,"Übergang",5817377
"1988-05-01",1988,"Sommer_Neben",5231744
"1988-06-01",1988,"Sommer_Neben",8543385
"1988-07-01",1988,"Sommer_Haupt",18903282
"1988-08-01",1988,"Sommer_Haupt",20074078
"1988-09-01",1988,"Sommer_Neben",10591556
"1988-10-01",1988,"Übergang",4811012
"1988-11-01",1988,"Übergang",1975442
"1988-12-01",1988,"Winter_Haupt",5440515
"1989-01-01",1989,"Winter_Haupt",10065327
"1989-02-01",1989,"Winter_Haupt",13563637
"1989-03-01",1989,"Winter_Haupt",14931915
"1989-04-01",1989,"Übergang",4476131
"1989-05-01",1989,"Sommer_Neben",6267597
"1989-06-01",1989,"Sommer_Neben",8805254
"1989-07-01",1989,"Sommer_Haupt",19948562
"1989-08-01",1989,"Sommer_Haupt",20920386
"1989-09-01",1989,"Sommer_Neben",11188047
"1989-10-01",1989,"Übergang",4977654
"1989-11-01",1989,"Übergang",2298167
"1989-12-01",1989,"Winter_Haupt",6341409
"1990-01-01",1990,"Winter_Haupt",9764812
"1990-02-01",1990,"Winter_Haupt",12469366
"1990-03-01",1990,"Winter_Haupt",11224690
"1990-04-01",1990,"Übergang",6748842
"1990-05-01",1990,"Sommer_Neben",5792995
"1990-06-01",1990,"Sommer_Neben",10074463
"1990-07-01",1990,"Sommer_Haupt",19403617
"1990-08-01",1990,"Sommer_Haupt",21409530
"1990-09-01",1990,"Sommer_Neben",11769052
"1990-10-01",1990,"Übergang",5501343
"1990-11-01",1990,"Übergang",2480053
"1990-12-01",1990,"Winter_Haupt",7039119
"1991-01-01",1991,"Winter_Haupt",10098432
"1991-02-01",1991,"Winter_Haupt",13915580
"1991-03-01",1991,"Winter_Haupt",12762067
"1991-04-01",1991,"Übergang",5093886
"1991-05-01",1991,"Sommer_Neben",6789207
"1991-06-01",1991,"Sommer_Neben",9430783
"1991-07-01",1991,"Sommer_Haupt",20510546
"1991-08-01",1991,"Sommer_Haupt",23360382
"1991-09-01",1991,"Sommer_Neben",12149471
"1991-10-01",1991,"Übergang",5876448
"1991-11-01",1991,"Übergang",2492667
"1991-12-01",1991,"Winter_Haupt",7593214
"1992-01-01",1992,"Winter_Haupt",11092400
"1992-02-01",1992,"Winter_Haupt",13873507
"1992-03-01",1992,"Winter_Haupt",11410251
"1992-04-01",1992,"Übergang",6608568
"1992-05-01",1992,"Sommer_Neben",6164838
"1992-06-01",1992,"Sommer_Neben",10298671
"1992-07-01",1992,"Sommer_Haupt",20218753
"1992-08-01",1992,"Sommer_Haupt",23059074
"1992-09-01",1992,"Sommer_Neben",12138840
"1992-10-01",1992,"Übergang",5517406
"1992-11-01",1992,"Übergang",2250521
"1992-12-01",1992,"Winter_Haupt",7783225
"1993-01-01",1993,"Winter_Haupt",12211987
"1993-02-01",1993,"Winter_Haupt",14232950
"1993-03-01",1993,"Winter_Haupt",10968616
"1993-04-01",1993,"Übergang",6603169
"1993-05-01",1993,"Sommer_Neben",6261931
"1993-06-01",1993,"Sommer_Neben",9950104
"1993-07-01",1993,"Sommer_Haupt",19124197
"1993-08-01",1993,"Sommer_Haupt",21943087
"1993-09-01",1993,"Sommer_Neben",11160828
"1993-10-01",1993,"Übergang",5139008
"1993-11-01",1993,"Übergang",2374878
"1993-12-01",1993,"Winter_Haupt",7068755
"1994-01-01",1994,"Winter_Haupt",12337682
"1994-02-01",1994,"Winter_Haupt",13887576
"1994-03-01",1994,"Winter_Haupt",12019243
"1994-04-01",1994,"Übergang",5209447
"1994-05-01",1994,"Sommer_Neben",6588498
"1994-06-01",1994,"Sommer_Neben",9155195
