"Datum","Year","Sesson","Sum(Sum(SA_Nächtigungen))"
"2021-09-01",2021,"Sommer_Neben",11726709
"2021-10-01",2021,"Übergang",8020680
"2021-11-01",2021,"Übergang",3268802
"2021-12-01",2021,"Winter_Haupt",6109999
"2022-01-01",2022,"Winter_Haupt",10220394
"2022-02-01",2022,"Winter_Haupt",13395405
"2022-03-01",2022,"Winter_Haupt",12150795
"2022-04-01",2022,"Übergang",7581435
"2022-05-01",2022,"Sommer_Neben",7221496
"2022-06-01",2022,"Sommer_Neben",11988573
"2022-07-01",2022,"Sommer_Haupt",17952635
"2022-08-01",2022,"Sommer_Haupt",20728115
"2022-09-01",2022,"Sommer_Neben",11650494
"2022-10-01",2022,"Übergang",8350099
"2022-11-01",2022,"Übergang",4885586
"2022-12-01",2022,"Winter_Haupt",10787073
"2023-01-01",2023,"Winter_Haupt",15027940
"2023-02-01",2023,"Winter_Haupt",17457450
"2023-03-01",2023,"Winter_Haupt",12937032
"2023-04-01",2023,"Übergang",8231946
"2023-05-01",2023,"Sommer_Neben",8279509
"2023-06-01",2023,"Sommer_Neben",12519455
"2023-07-01",2023,"Sommer_Haupt",18805599
"2023-08-01",2023,"Sommer_Haupt",20455405
"2023-09-01",2023,"Sommer_Neben",12209238
"2023-10-01",2023,"Übergang",8661552
"2023-11-01",2023,"Übergang",5175699
"2023-12-01",2023,"Winter_Haupt",11408118
"2024-01-01",2024,"Winter_Haupt",15515336
"2024-02-01",2024,"Winter_Haupt",18476532
"2024-03-01",2024,"Winter_Haupt",13922702
"2024-04-01",2024,"Übergang",6586730
"2024-05-01",2024,"Sommer_Neben",9518563
"2024-06-01",2024,"Sommer_Neben",11748133
"2024-07-01",2024,"Sommer_Haupt",18785340
"2024-08-01",2024,"Sommer_Haupt",21123005
"2024-09-01",2024,"Sommer_Neben",11366256
"2024-10-01",2024,"Übergang",9078574
"2024-11-01",2024,"Übergang",5541119
"2024-12-01",2024,"Winter_Haupt",12655553
