"Datum","Bundesland","Mean(temp_max_month)","Mean(temp_min_month)","Mean(snow_height_final)","zamg_temp","Mean(sun_hours_final)","Mean(rr_final)","era5_temp","Temp_final","Sum(SA_Nächtigungen)","Month","Year","Sesson","Month (#1)","Year (#1)","month_sin","month_cos"
"1974-01-01","Burgenland",3.9903225806451603,0.18709677419354845,,2.0967741935483875,30.099999999999998,68,1.815019166666689,2.0967741935483875,24403,1,1974,"Winter_Haupt",1,1974,0.49999999999999994,0.8660254037844387
"1974-01-01","Kärnten",2.2161290322580642,-2.89247311827957,,-0.36451612903225794,93.47500000000004,-12.266666666666667,-1.04618139784944,-0.36451612903225794,255517,1,1974,"Winter_Haupt",1,1974,0.49999999999999994,0.8660254037844387
"1974-01-01","Niederösterreich",3.761290322580645,-1.6494623655913982,,1.2107078853046593,42.599999999999994,91.76666666666665,1.2930701881720674,1.2107078853046593,266139,1,1974,"Winter_Haupt",1,1974,0.49999999999999994,0.8660254037844387
"1974-01-01","Oberösterreich",3.3354838709677415,-1.6661290322580644,,0.8403225806451612,29.400000000000002,39.900000000000006,1.383830470430128,0.8403225806451612,255923,1,1974,"Winter_Haupt",1,1974,0.49999999999999994,0.8660254037844387
"1974-01-01","Salzburg",-0.5397849462365589,-6.4172043010752695,,-3.4913978494623663,106.06666666666668,100.03333333333333,-2.4834009946236333,-3.4913978494623663,1319189,1,1974,"Winter_Haupt",1,1974,0.49999999999999994,0.8660254037844387
"1974-01-01","Steiermark",3.5258064516129033,-1.239784946236559,,1.1526881720430107,54.83333333333334,19.466666666666665,-0.17945883064513793,1.1526881720430107,490224,1,1974,"Winter_Haupt",1,1974,0.49999999999999994,0.8660254037844387
"1974-01-01","Tirol",4.324731182795699,-2.7172043010752684,,0.8139784946236559,71.8,61.63333333333332,-3.618670900537613,0.8139784946236559,2194472,1,1974,"Winter_Haupt",1,1974,0.49999999999999994,0.8660254037844387
"1974-01-01","Vorarlberg",5.95967741935484,-0.08709677419354822,,2.624126344086019,67.4,105.00000000000001,-0.6748744623655684,2.624126344086019,609069,1,1974,"Winter_Haupt",1,1974,0.49999999999999994,0.8660254037844387
"1974-01-01","Wien",4.329032258064517,0.3881720430107527,,2.119758064516129,33.6,71.88888888888887,1.832584448924753,2.119758064516129,166690,1,1974,"Winter_Haupt",1,1974,0.49999999999999994,0.8660254037844387
"1974-02-01","Burgenland",8.578571428571427,1.3142857142857143,,4.9678571428571425,70.5,5.299999999999999,4.41890111607145,4.9678571428571425,28813,2,1974,"Winter_Haupt",2,1974,0.8660254037844386,0.5000000000000001
"1974-02-01","Kärnten",4.029761904761904,-2.0142857142857142,,1.0154761904761904,80.70000000000002,9.966666666666669,1.6752295238095476,1.0154761904761904,227401,2,1974,"Winter_Haupt",2,1974,0.8660254037844386,0.5000000000000001
"1974-02-01","Niederösterreich",7.058333333333334,-0.47380952380952385,,3.3037202380952393,61.00000000000001,13.566666666666668,3.220139970238117,3.3037202380952393,293457,2,1974,"Winter_Haupt",2,1974,0.8660254037844386,0.5000000000000001
"1974-02-01","Oberösterreich",5.7714285714285705,-0.39821428571428574,,2.698214285714286,65,23.049999999999997,3.2566049107143065,2.698214285714286,300653,2,1974,"Winter_Haupt",2,1974,0.8660254037844386,0.5000000000000001
"1974-02-01","Salzburg",-2.0107142857142866,-6.938095238095238,,-4.4785714285714295,86.73333333333333,51.56666666666667,-2.1195051934523588,-4.4785714285714295,1372134,2,1974,"Winter_Haupt",2,1974,0.8660254037844386,0.5000000000000001
"1974-02-01","Steiermark",8.201190476190476,0.3095238095238094,,4.279761904761905,80.4,3.3666666666666663,2.9259688541666926,4.279761904761905,571067,2,1974,"Winter_Haupt",2,1974,0.8660254037844386,0.5000000000000001
"1974-02-01","Tirol",7.552380952380955,-0.2535714285714286,,3.6714285714285713,104.49999999999999,25.299999999999997,-2.788801458333309,3.6714285714285713,2085450,2,1974,"Winter_Haupt",2,1974,0.8660254037844386,0.5000000000000001
"1974-02-01","Vorarlberg",6.303571428571429,0.9428571428571428,,3.359374999999999,62.000000000000014,87.14999999999999,0.3634945089285948,3.359374999999999,539483,2,1974,"Winter_Haupt",2,1974,0.8660254037844386,0.5000000000000001
"1974-02-01","Wien",8.24404761904762,1.5880952380952382,,4.539484126984128,66,4.9,4.298040372023831,4.539484126984128,161893,2,1974,"Winter_Haupt",2,1974,0.8660254037844386,0.5000000000000001
"1974-03-01","Burgenland",13.880645161290323,3.7129032258064516,,8.819354838709678,147.50000000000006,-9.7,7.640749381720452,8.819354838709678,37096,3,1974,"Winter_Haupt",3,1974,1,0.00000000000000006123233995736766
"1974-03-01","Kärnten",7.124731182795699,-0.34838709677419355,,3.395698924731183,122.74999999999999,63.66666666666667,3.4836268817204536,3.395698924731183,224576,3,1974,"Winter_Haupt",3,1974,1,0.00000000000000006123233995736766
"1974-03-01","Niederösterreich",11.988172043010753,0.7086021505376344,,6.666084229390681,138,9.366666666666665,6.7680022177419605,6.666084229390681,308146,3,1974,"Winter_Haupt",3,1974,1,0.00000000000000006123233995736766
"1974-03-01","Oberösterreich",11.362903225806452,1.6322580645161289,,6.525806451612903,156.10000000000002,2.299999999999999,7.3257261290322795,6.525806451612903,315437,3,1974,"Winter_Haupt",3,1974,1,0.00000000000000006123233995736766
"1974-03-01","Salzburg",1.3258064516129018,-5.021505376344087,,-1.8505376344086009,142.66666666666669,43.3,0.34569065860217085,-1.8505376344086009,1375075,3,1974,"Winter_Haupt",3,1974,1,0.00000000000000006123233995736766
"1974-03-01","Steiermark",11.56021505376344,2.083870967741935,,6.848387096774194,123.03333333333335,58.83333333333332,5.118139569892495,6.848387096774194,532331,3,1974,"Winter_Haupt",3,1974,1,0.00000000000000006123233995736766
"1974-03-01","Tirol",12.381720430107528,1.5021505376344089,,6.961290322580645,140.59999999999997,34.800000000000004,-0.19356122311825863,6.961290322580645,2240658,3,1974,"Winter_Haupt",3,1974,1,0.00000000000000006123233995736766
"1974-03-01","Vorarlberg",12.504838709677419,3.070967741935484,,7.496505376344087,161.20000000000005,35.9,2.7627452284946474,7.496505376344087,735714,3,1974,"Winter_Haupt",3,1974,1,0.00000000000000006123233995736766
"1974-03-01","Wien",12.851612903225806,3.261290322580644,,7.803539426523298,136.10000000000002,-2.4333333333333362,7.732421155914006,7.803539426523298,225065,3,1974,"Winter_Haupt",3,1974,1,0.00000000000000006123233995736766
"1974-04-01","Burgenland",16.029999999999994,4.956666666666667,,10.510000000000002,218.5000000000002,-19.8,9.589216527777797,10.510000000000002,54331,4,1974,"Übergang",4,1974,0.8660254037844387,-0.4999999999999998
"1974-04-01","Kärnten",9.68222222222222,0.5511111111111111,,5.136666666666667,149.46250000000003,19.999999999999996,6.180128930555579,5.136666666666667,229045,4,1974,"Übergang",4,1974,0.8660254037844387,-0.4999999999999998
"1974-04-01","Niederösterreich",14.192222222222224,1.3299999999999998,,8.183723896062487,205.4,5.300000000000001,8.278367513888925,8.183723896062487,379592,4,1974,"Übergang",4,1974,0.8660254037844387,-0.4999999999999998
"1974-04-01","Oberösterreich",13.408333333333335,2.348333333333333,,7.906666666666666,187.89999999999998,20.9,8.423567041666704,7.906666666666666,390891,4,1974,"Übergang",4,1974,0.8660254037844387,-0.4999999999999998
"1974-04-01","Salzburg",1.8388888888888897,-4.527777777777778,,-1.3400000000000003,141.36666666666665,80.53333333333333,1.2339973194444667,-1.3400000000000003,964088,4,1974,"Übergang",4,1974,0.8660254037844387,-0.4999999999999998
"1974-04-01","Steiermark",14.047777777777776,2.4299999999999997,,8.259999999999998,166.86666666666662,2.6999999999999997,7.330568819444465,8.259999999999998,468383,4,1974,"Übergang",4,1974,0.8660254037844387,-0.4999999999999998
"1974-04-01","Tirol",14.423333333333334,2.824444444444444,,8.639999999999997,171.41249999999994,41.300000000000004,0.5449104305555785,8.639999999999997,1511696,4,1974,"Übergang",4,1974,0.8660254037844387,-0.4999999999999998
"1974-04-01","Vorarlberg",14.240000000000002,3.545,,8.62977044476327,193.50000000000006,56.3,4.394590763888912,8.62977044476327,506157,4,1974,"Übergang",4,1974,0.8660254037844387,-0.4999999999999998
"1974-04-01","Wien",15.256666666666668,4.504444444444443,,9.762361443222273,196.73999999999992,-1.0111111111111135,9.785850555555573,9.762361443222273,339544,4,1974,"Übergang",4,1974,0.8660254037844387,-0.4999999999999998
"1974-05-01","Burgenland",19.522580645161288,9.364516129032259,,14.454838709677423,182.80000000000027,17.5,13.693616491935519,14.454838709677423,110655,5,1974,"Sommer_Neben",5,1974,0.49999999999999994,-0.8660254037844387
"1974-05-01","Kärnten",14.7752688172043,5.479569892473117,,10.149462365591399,188.29999999999995,44.00000000000001,10.756462258064532,10.149462365591399,427594,5,1974,"Sommer_Neben",5,1974,0.49999999999999994,-0.8660254037844387
"1974-05-01","Niederösterreich",16.860215053763444,6.3354838709677415,,11.718772401433686,149.99999999999997,78.30000000000001,11.933411303763457,11.718772401433686,421179,5,1974,"Sommer_Neben",5,1974,0.49999999999999994,-0.8660254037844387
"1974-05-01","Oberösterreich",15.970967741935485,6.6,,11.306451612903228,173.40000000000003,126.94999999999999,11.708610725806466,11.306451612903228,514175,5,1974,"Sommer_Neben",5,1974,0.49999999999999994,-0.8660254037844387
