"SA_Datum","Sum(SA_Nächtigungen)"
"1996-01-01",11021217
"1996-02-01",13584535
"1996-03-01",10834969
"1996-04-01",5622908
"1996-05-01",5858185
"1996-06-01",8583900
"1996-07-01",16380064
"1996-08-01",16869802
"1996-09-01",9024538
"1996-10-01",5163621
"1996-11-01",2430703
"1996-12-01",7561523
"1997-01-01",10476333
"1997-02-01",12630284
"1997-03-01",11297525
"1997-04-01",4410157
"1997-05-01",6176819
"1997-06-01",7829616
"1997-07-01",14269582
"1997-08-01",17332678
"1997-09-01",9235924
"1997-10-01",5200106
"1997-11-01",2377910
"1997-12-01",7868904
"1998-01-01",10345910
"1998-02-01",13132785
"1998-03-01",9345651
"1998-04-01",6468899
"1998-05-01",5901757
"1998-06-01",8287345
"1998-07-01",13974672
"1998-08-01",18446576
"1998-09-01",9465346
"1998-10-01",5177470
"1998-11-01",2542893
"1998-12-01",8067156
"1999-01-01",11835562
"1999-02-01",13508009
"1999-03-01",10282741
"1999-04-01",5885842
"1999-05-01",5988252
"1999-06-01",8280591
"1999-07-01",14459458
"1999-08-01",17904330
"1999-09-01",9320316
"1999-10-01",5247788
"1999-11-01",2646650
"1999-12-01",7373032
"2000-01-01",12437804
"2000-02-01",13480000
"2000-03-01",11340174
"2000-04-01",6137874
"2000-05-01",5150347
"2000-06-01",8908928
"2000-07-01",14618141
"2000-08-01",16498662
"2000-09-01",9288298
"2000-10-01",5180341
"2000-11-01",2701638
"2000-12-01",7943362
"2001-01-01",12611596
"2001-02-01",14249582
"2001-03-01",11124465
"2001-04-01",6639917
"2001-05-01",5647470
"2001-06-01",8467990
"2001-07-01",14626042
"2001-08-01",16490657
"2001-09-01",8583676
"2001-10-01",5429983
"2001-11-01",2873002
"2001-12-01",8365664
"2002-01-01",12469912
"2002-02-01",15032360
"2002-03-01",12549557
"2002-04-01",5009966
"2002-05-01",6439941
"2002-06-01",8224343
"2002-07-01",14645574
"2002-08-01",16554602
"2002-09-01",8781886
"2002-10-01",5549698
"2002-11-01",2913234
"2002-12-01",8632525
"2003-01-01",12558610
"2003-02-01",14351621
"2003-03-01",11947651
"2003-04-01",6428052
"2003-05-01",5872467
"2003-06-01",8976942
"2003-07-01",13691367
"2003-08-01",17790411
"2003-09-01",9206279
"2003-10-01",5558717
"2003-11-01",3068894
"2003-12-01",8515365
"2004-01-01",12481210
"2004-02-01",15785725
"2004-03-01",11362805
"2004-04-01",6886592
"2004-05-01",6155760
"2004-06-01",8518179
"2004-07-01",13557620
"2004-08-01",17078434
"2004-09-01",9104940
"2004-10-01",5407741
"2004-11-01",3119155
"2004-12-01",7792653
"2005-01-01",13672902
"2005-02-01",15280433
"2005-03-01",14567987
"2005-04-01",4761346
"2005-05-01",6485192
"2005-06-01",7954441
"2005-07-01",13762974
"2005-08-01",16670756
"2005-09-01",9019138
"2005-10-01",5685797
"2005-11-01",3158067
"2005-12-01",8221912
"2006-01-01",13467099
"2006-02-01",15424530
"2006-03-01",12479283
"2006-04-01",7187280
"2006-05-01",5817909
"2006-06-01",8575799
"2006-07-01",13858568
"2006-08-01",15373023
"2006-09-01",9426190
"2006-10-01",5930299
"2006-11-01",3306606
"2006-12-01",8556538
"2007-01-01",13024098
"2007-02-01",15541398
"2007-03-01",11786861
"2007-04-01",7167148
"2007-05-01",6105886
"2007-06-01",8824342
"2007-07-01",14742763
"2007-08-01",15841836
"2007-09-01",9330374
"2007-10-01",6101475
"2007-11-01",3614714
"2007-12-01",9368491
"2008-01-01",13708035
"2008-02-01",16891321
"2008-03-01",14817637
"2008-04-01",4913435
"2008-05-01",7109574
"2008-06-01",8531867
"2008-07-01",15268356
"2008-08-01",15986766
"2008-09-01",9321150
"2008-10-01",6194151
"2008-11-01",3624128
"2008-12-01",10352212
"2009-01-01",14097527
"2009-02-01",16092409
"2009-03-01",11173817
"2009-04-01",7560486
"2009-05-01",6292516
"2009-06-01",8577668
"2009-07-01",14519650
"2009-08-01",16695239
"2009-09-01",9498362
"2009-10-01",6090811
"2009-11-01",3560562
"2009-12-01",10147920
"2010-01-01",13873305
"2010-02-01",15900667
"2010-03-01",12613962
"2010-04-01",6598790
"2010-05-01",6509304
"2010-06-01",8407997
"2010-07-01",14945597
"2010-08-01",16773614
"2010-09-01",9573457
"2010-10-01",6265895
"2010-11-01",3841399
"2010-12-01",9576105
"2011-01-01",14411086
"2011-02-01",14835518
"2011-03-01",12997147
"2011-04-01",6401322
"2011-05-01",5774356
"2011-06-01",9752460
"2011-07-01",14900164
"2011-08-01",17201037
"2011-09-01",9861609
"2011-10-01",6516964
"2011-11-01",3982511
"2011-12-01",9367807
"2012-01-01",14691053
"2012-02-01",16648922
"2012-03-01",12168100
"2012-04-01",7450195
"2012-05-01",6757252
"2012-06-01",9316980
"2012-07-01",15201094
"2012-08-01",17531141
"2012-09-01",10237620
"2012-10-01",6655047
"2012-11-01",4167266
"2012-12-01",10191281
"2013-01-01",14337139
"2013-02-01",17087170
"2013-03-01",14113258
"2013-04-01",5662694
"2013-05-01",7163568
"2013-06-01",8813317
"2013-07-01",15476393
"2013-08-01",18175126
"2013-09-01",10051922
"2013-10-01",6780680
"2013-11-01",4253923
"2013-12-01",10713790
"2014-01-01",13890428
"2014-02-01",15560473
"2014-03-01",13143730
"2014-04-01",6930938
"2014-05-01",6671123
"2014-06-01",10103768
"2014-07-01",14785517
"2014-08-01",18513442
"2014-09-01",10063970
"2014-10-01",7075664
"2014-11-01",4290243
"2014-12-01",10871416
"2015-01-01",13915727
"2015-02-01",17226577
"2015-03-01",12492010
"2015-04-01",7102335
"2015-05-01",7306144
"2015-06-01",9863136
"2015-07-01",15934849
"2015-08-01",18867035
"2015-09-01",10553225
"2015-10-01",6902076
"2015-11-01",4542346
"2015-12-01",10543929
"2016-01-01",14229334
"2016-02-01",17797200
"2016-03-01",15581922
"2016-04-01",5832169
"2016-05-01",8025225
"2016-06-01",9304475
"2016-07-01",17056837
"2016-08-01",19828632
"2016-09-01",11130598
"2016-10-01",7605206
"2016-11-01",4666449
"2016-12-01",9818895
"2017-01-01",14602547
"2017-02-01",17280437
"2017-03-01",13874964
"2017-04-01",8348515
"2017-05-01",7163569
"2017-06-01",11271817
"2017-07-01",17695087
"2017-08-01",19977268
"2017-09-01",11091392
"2017-10-01",7787933
"2017-11-01",4843712
"2017-12-01",10562871
"2018-01-01",15424579
"2018-02-01",18206461
"2018-03-01",15523213
"2018-04-01",7278028
"2018-05-01",8504863
"2018-06-01",10777905
"2018-07-01",18361758
"2018-08-01",19766142
"2018-09-01",11288113
"2018-10-01",8048140
"2018-11-01",5227899
"2018-12-01",11412233
"2019-01-01",15156391
"2019-02-01",17862768
"2019-03-01",14979370
"2019-04-01",8276601
"2019-05-01",7465251
"2019-06-01",12610524
"2019-07-01",18754000
"2019-08-01",20194697
"2019-09-01",11428432
"2019-10-01",8521969
"2019-11-01",5301369
"2019-12-01",12157712
"2020-01-01",16042908
"2020-02-01",19733690
"2020-03-01",6196039
"2020-04-01",249868
"2020-05-01",770115
"2020-06-01",5246626
"2020-07-01",15574200
"2020-08-01",17994407
"2020-09-01",9895421
"2020-10-01",4347704
"2020-11-01",1074796
"2020-12-01",747222
"2021-01-01",756931
"2021-02-01",866669
"2021-03-01",1079879
"2021-04-01",1036434
"2021-05-01",2913804
"2021-06-01",7441813
"2021-07-01",15574909
"2021-08-01",20765380
"2021-09-01",11726709
"2021-10-01",8020680
"2021-11-01",3268802
"2021-12-01",6109999
"2022-01-01",10220394
"2022-02-01",13395405
"2022-03-01",12150795
"2022-04-01",7581435
"2022-05-01",7221496
"2022-06-01",11988573
"2022-07-01",17952635
"2022-08-01",20728115
"2022-09-01",11650494
"2022-10-01",8350099
"2022-11-01",4885586
"2022-12-01",10787073
"2023-01-01",15027940
"2023-02-01",17457450
"2023-03-01",12937032
"2023-04-01",8231946
"2023-05-01",8279509
"2023-06-01",12519455
"2023-07-01",18805599
"2023-08-01",20455405
"2023-09-01",12209238
"2023-10-01",8661552
"2023-11-01",5175699
"2023-12-01",11408118
"2024-01-01",15515336
"2024-02-01",18476532
"2024-03-01",13922702
"2024-04-01",6586730
"2024-05-01",9518563
"2024-06-01",11748133
"2024-07-01",18785340
"2024-08-01",21123005
"2024-09-01",11366256
"2024-10-01",9078574
"2024-11-01",5541119
"2024-12-01",12655553
