"SA_Bundesland(AT)","SA_Datum","Sum(SA_Nächtigungen)","Month","Year","Sesson"
"Burgenland","1982-02-01",34658,2,1982,"Winter_Haupt"
"Burgenland","1982-03-01",49223,3,1982,"Winter_Haupt"
"Burgenland","1982-04-01",82703,4,1982,"Übergang"
"Burgenland","1982-05-01",180205,5,1982,"Sommer_Neben"
"Burgenland","1982-06-01",278371,6,1982,"Sommer_Neben"
"Burgenland","1982-07-01",511691,7,1982,"Sommer_Haupt"
"Burgenland","1982-08-01",546213,8,1982,"Sommer_Haupt"
"Burgenland","1982-09-01",208542,9,1982,"Sommer_Neben"
"Burgenland","1982-10-01",97408,10,1982,"Übergang"
"Burgenland","1982-11-01",46473,11,1982,"Übergang"
"Burgenland","1982-12-01",27894,12,1982,"Winter_Haupt"
"Burgenland","1983-01-01",36375,1,1983,"Winter_Haupt"
"Burgenland","1983-02-01",30297,2,1983,"Winter_Haupt"
"Burgenland","1983-03-01",46690,3,1983,"Winter_Haupt"
"Burgenland","1983-04-01",86728,4,1983,"Übergang"
"Burgenland","1983-05-01",204042,5,1983,"Sommer_Neben"
"Burgenland","1983-06-01",246124,6,1983,"Sommer_Neben"
"Burgenland","1983-07-01",477607,7,1983,"Sommer_Haupt"
"Burgenland","1983-08-01",550546,8,1983,"Sommer_Haupt"
"Burgenland","1983-09-01",198763,9,1983,"Sommer_Neben"
"Burgenland","1983-10-01",93476,10,1983,"Übergang"
"Burgenland","1983-11-01",46320,11,1983,"Übergang"
"Burgenland","1983-12-01",28226,12,1983,"Winter_Haupt"
"Burgenland","1984-01-01",26848,1,1984,"Winter_Haupt"
"Burgenland","1984-02-01",33865,2,1984,"Winter_Haupt"
"Burgenland","1984-03-01",46728,3,1984,"Winter_Haupt"
"Burgenland","1984-04-01",103173,4,1984,"Übergang"
"Burgenland","1984-05-01",164861,5,1984,"Sommer_Neben"
"Burgenland","1984-06-01",260908,6,1984,"Sommer_Neben"
"Burgenland","1984-07-01",429719,7,1984,"Sommer_Haupt"
"Burgenland","1984-08-01",546668,8,1984,"Sommer_Haupt"
"Burgenland","1984-09-01",211682,9,1984,"Sommer_Neben"
"Burgenland","1984-10-01",98682,10,1984,"Übergang"
"Burgenland","1984-11-01",51251,11,1984,"Übergang"
"Burgenland","1984-12-01",30434,12,1984,"Winter_Haupt"
"Burgenland","1985-01-01",31879,1,1985,"Winter_Haupt"
"Burgenland","1985-02-01",35640,2,1985,"Winter_Haupt"
"Burgenland","1985-03-01",47341,3,1985,"Winter_Haupt"
"Burgenland","1985-04-01",95176,4,1985,"Übergang"
"Burgenland","1985-05-01",199547,5,1985,"Sommer_Neben"
"Burgenland","1985-06-01",247500,6,1985,"Sommer_Neben"
"Burgenland","1985-07-01",443858,7,1985,"Sommer_Haupt"
"Burgenland","1985-08-01",557985,8,1985,"Sommer_Haupt"
"Burgenland","1985-09-01",193290,9,1985,"Sommer_Neben"
"Burgenland","1985-10-01",97086,10,1985,"Übergang"
"Burgenland","1985-11-01",47771,11,1985,"Übergang"
"Burgenland","1985-12-01",32783,12,1985,"Winter_Haupt"
"Burgenland","1986-01-01",37526,1,1986,"Winter_Haupt"
"Burgenland","1986-02-01",41122,2,1986,"Winter_Haupt"
"Burgenland","1986-03-01",56818,3,1986,"Winter_Haupt"
"Burgenland","1986-04-01",86137,4,1986,"Übergang"
"Burgenland","1986-05-01",188945,5,1986,"Sommer_Neben"
"Burgenland","1986-06-01",198660,6,1986,"Sommer_Neben"
"Burgenland","1986-07-01",424393,7,1986,"Sommer_Haupt"
"Burgenland","1986-08-01",511789,8,1986,"Sommer_Haupt"
"Burgenland","1986-09-01",197495,9,1986,"Sommer_Neben"
"Burgenland","1986-10-01",101527,10,1986,"Übergang"
"Burgenland","1986-11-01",53720,11,1986,"Übergang"
"Burgenland","1986-12-01",35042,12,1986,"Winter_Haupt"
"Burgenland","1987-01-01",38338,1,1987,"Winter_Haupt"
"Burgenland","1987-02-01",41096,2,1987,"Winter_Haupt"
"Burgenland","1987-03-01",55220,3,1987,"Winter_Haupt"
"Burgenland","1987-04-01",96761,4,1987,"Übergang"
"Burgenland","1987-05-01",173622,5,1987,"Sommer_Neben"
"Burgenland","1987-06-01",258250,6,1987,"Sommer_Neben"
"Burgenland","1987-07-01",486708,7,1987,"Sommer_Haupt"
"Burgenland","1987-08-01",487352,8,1987,"Sommer_Haupt"
