"Jahr","Mean(Mean(temp_max_month))","Mean(Mean(temp_min_month))","Mean(Temp_final)"
1974,20.039506172839506,-1.3941358024691364,8.281473770466079
1975,19.806018518518513,-2.512808641975309,8.322189059102945
1976,19.840586419753084,-3.663734567901235,7.752197627737917
1977,20.68611111111111,-3.1811728395061736,8.344784911383933
1978,18.886265432098764,-3.582716049382715,6.905713103586061
1979,19.52314814814815,-3.309104938271603,7.474982999452212
1980,18.958950617283953,-3.241203703703703,6.855345257165091
1981,20.37422839506172,-3.482561728395061,7.830216354389667
1982,19.703240740740746,-2.1337962962962953,8.28798992770397
1983,21.264351851851863,-3.026543209876543,8.644185875134145
1984,20.032561728395063,-2.5691358024691344,7.618473919935615
1985,20.138734567901217,-4.34891975308642,7.370493949451477
1986,19.911265432098766,-4.317438271604937,7.48536054436354
1987,19.68657407407407,-4.950154320987653,7.345837752928366
1988,19.77901234567901,-2.4589506172839513,8.420563370693968
1989,20.849228395061726,-1.8328703703703708,8.641821629557102
1990,20.737654320987648,-1.912808641975308,8.649739388706974
1991,19.640432098765427,-3.45570987654321,7.729728089970166
1992,20.71574074074074,-1.4603395061728386,8.987858756013948
1993,21.075617283950614,-3.3734567901234556,8.250386453062275
1994,22.019290123456795,-1.1487654320987655,9.621795845515
1995,20.50030864197531,-2.487191358024692,8.30484076065472
1996,19.24907407407407,-3.8214506172839524,7.237509486658172
1997,20.262345679012352,-2.535185185185187,8.325818534264062
1998,21.348302469135803,-2.892746913580247,8.596709962361007
1999,20.692283950617288,-2.092129629629631,8.53477242270209
2000,21.951234567901228,-1.2850308641975305,9.523478859000022
2001,20.76990740740742,-2.095061728395061,8.572530173660642
2002,21.418055555555558,-1.3091049382716051,9.260206807567284
2003,22.361265432098765,-3.030709876543212,8.7828333730778
2004,20.78117283950618,-2.5655864197530875,8.185441058895425
2005,20.34120370370371,-4.245524691358024,7.861550429558318
2006,21.113888888888894,-2.48472222222222,8.41028193025494
2007,21.54799382716049,-1.0362654320987656,9.17091874268569
2008,21.83873456790123,-1.8390432098765435,8.989332887224586
2009,21.274228395061726,-1.5421296296296307,8.765909315890896
2010,20.67978395061728,-2.9966049382716045,7.83381056808557
2011,22.38626543209877,-1.7888888888888868,8.96064754993855
2012,22.527623456790124,-2.8695987654320985,8.92281959086817
2013,22.028240740740742,-1.7671296296296304,8.600037037293692
2014,21.910339506172843,-0.41265432098765364,9.730921589708633
2015,22.705864197530868,-0.6095679012345671,9.586954359562085
2016,21.903015873015875,-1.0758730158730165,9.078195635676721
2017,21.95679012345678,-1.3817901234567904,9.022805337990501
2018,21.84320987654321,-1.8705246913580242,9.904008595085989
2019,22.63024691358025,-0.38240740740740664,9.783098505594012
2020,22.18672839506173,-0.970061728395061,9.412276601744423
2021,22.206327160493828,-2.134259259259259,8.5892637965306
2022,22.87824074074075,-0.47515432098765464,9.799445325545934
2023,22.712808641975297,-0.8486111111111112,10.020569850626131
2024,22.903703703703705,0.6342592592592594,10.50509984871537
