valid_time,t2m,latitude,longitude
2025-01-05 11:00:00,273.81787,47.5,13.3
2025-01-05 12:00:00,274.60986,47.5,13.3
2025-01-05 13:00:00,275.01953,47.5,13.3
2025-01-05 14:00:00,275.19043,47.5,13.3
2025-01-05 15:00:00,275.34912,47.5,13.3
2025-01-05 16:00:00,275.03467,47.5,13.3
2025-01-05 17:00:00,274.4026,47.5,13.3
2025-01-05 18:00:00,273.91406,47.5,13.3
2025-01-05 19:00:00,273.31787,47.5,13.3
2025-01-05 20:00:00,272.9287,47.5,13.3
2025-01-05 21:00:00,272.84106,47.5,13.3
2025-01-05 22:00:00,272.31982,47.5,13.3
2025-01-05 23:00:00,272.40552,47.5,13.3
2025-01-06 00:00:00,272.25586,47.5,13.3
2025-01-06 01:00:00,271.7683,47.5,13.3
2025-01-06 02:00:00,271.40796,47.5,13.3
2025-01-06 03:00:00,271.05957,47.5,13.3
2025-01-06 04:00:00,271.06592,47.5,13.3
2025-01-06 05:00:00,271.03467,47.5,13.3
2025-01-06 06:00:00,271.01685,47.5,13.3
2025-01-06 07:00:00,271.04492,47.5,13.3
2025-01-06 08:00:00,272.17578,47.5,13.3
2025-01-06 09:00:00,273.99146,47.5,13.3
2025-01-06 10:00:00,276.01025,47.5,13.3
2025-01-06 11:00:00,277.0398,47.5,13.3
2025-01-06 12:00:00,277.19946,47.5,13.3
2025-01-06 13:00:00,277.14038,47.5,13.3
2025-01-06 14:00:00,276.64307,47.5,13.3
2025-01-06 15:00:00,276.45605,47.5,13.3
2025-01-06 16:00:00,275.8982,47.5,13.3
2025-01-06 17:00:00,275.62256,47.5,13.3
2025-01-06 18:00:00,275.65063,47.5,13.3
2025-01-06 19:00:00,275.57178,47.5,13.3
2025-01-06 20:00:00,275.48926,47.5,13.3
2025-01-06 21:00:00,275.4292,47.5,13.3
2025-01-06 22:00:00,275.38452,47.5,13.3
2025-01-06 23:00:00,274.93018,47.5,13.3
2025-01-07 00:00:00,274.63892,47.5,13.3
2025-01-07 01:00:00,274.75806,47.5,13.3
2025-01-07 02:00:00,274.35425,47.5,13.3
2025-01-07 03:00:00,274.031,47.5,13.3
2025-01-07 04:00:00,273.46362,47.5,13.3
2025-01-07 05:00:00,273.16528,47.5,13.3
2025-01-07 06:00:00,273.23828,47.5,13.3
2025-01-07 07:00:00,273.3518,47.5,13.3
2025-01-07 08:00:00,273.38818,47.5,13.3
2025-01-07 09:00:00,273.34058,47.5,13.3
2025-01-07 10:00:00,272.65552,47.5,13.3
2025-01-07 11:00:00,272.34302,47.5,13.3
2025-01-07 12:00:00,272.58594,47.5,13.3
2025-01-07 13:00:00,272.3379,47.5,13.3
2025-01-07 14:00:00,272.062,47.5,13.3
2025-01-07 15:00:00,272.23755,47.5,13.3
2025-01-07 16:00:00,272.0354,47.5,13.3
2025-01-07 17:00:00,272.07202,47.5,13.3
2025-01-07 18:00:00,271.7871,47.5,13.3
2025-01-07 19:00:00,271.73804,47.5,13.3
2025-01-07 20:00:00,271.7329,47.5,13.3
2025-01-07 21:00:00,270.9353,47.5,13.3
2025-01-07 22:00:00,270.42383,47.5,13.3
2025-01-07 23:00:00,269.07056,47.5,13.3
2025-01-08 00:00:00,268.72925,47.5,13.3
2025-01-08 01:00:00,267.69238,47.5,13.3
2025-01-08 02:00:00,266.20435,47.5,13.3
2025-01-08 03:00:00,266.13403,47.5,13.3
2025-01-08 04:00:00,266.40063,47.5,13.3
2025-01-08 05:00:00,266.62085,47.5,13.3
2025-01-08 06:00:00,267.17383,47.5,13.3
2025-01-08 07:00:00,267.96777,47.5,13.3
2025-01-08 08:00:00,268.34497,47.5,13.3
2025-01-08 09:00:00,270.22192,47.5,13.3
2025-01-08 10:00:00,272.44116,47.5,13.3
2025-01-08 11:00:00,274.57227,47.5,13.3
2025-01-08 12:00:00,275.69946,47.5,13.3
2025-01-08 13:00:00,276.25293,47.5,13.3
2025-01-08 14:00:00,275.82495,47.5,13.3
2025-01-08 15:00:00,274.6328,47.5,13.3
2025-01-08 16:00:00,274.19092,47.5,13.3
2025-01-08 17:00:00,273.49634,47.5,13.3
2025-01-08 18:00:00,274.1521,47.5,13.3
2025-01-08 19:00:00,274.31543,47.5,13.3
2025-01-08 20:00:00,273.76343,47.5,13.3
2025-01-08 21:00:00,273.06982,47.5,13.3
2025-01-08 22:00:00,272.89502,47.5,13.3
2025-01-08 23:00:00,272.90356,47.5,13.3
2025-01-09 00:00:00,272.86597,47.5,13.3
2025-01-09 01:00:00,273.04102,47.5,13.3
2025-01-09 02:00:00,273.30444,47.5,13.3
2025-01-09 03:00:00,273.53662,47.5,13.3
2025-01-09 04:00:00,273.54736,47.5,13.3
2025-01-09 05:00:00,274.0149,47.5,13.3
2025-01-09 06:00:00,274.0066,47.5,13.3
2025-01-09 07:00:00,273.9812,47.5,13.3
2025-01-09 08:00:00,274.3235,47.5,13.3
2025-01-09 09:00:00,274.54468,47.5,13.3
2025-01-09 10:00:00,274.92627,47.5,13.3
2025-01-09 11:00:00,275.7478,47.5,13.3
2025-01-09 12:00:00,276.82886,47.5,13.3
2025-01-09 13:00:00,277.4375,47.5,13.3
2025-01-09 14:00:00,276.91113,47.5,13.3
2025-01-09 15:00:00,276.46167,47.5,13.3
2025-01-09 16:00:00,274.5183,47.5,13.3
2025-01-09 17:00:00,274.95605,47.5,13.3
2025-01-09 18:00:00,275.40625,47.5,13.3
2025-01-09 19:00:00,273.90454,47.5,13.3
2025-01-09 20:00:00,272.1211,47.5,13.3
2025-01-09 21:00:00,273.0835,47.5,13.3
2025-01-09 22:00:00,272.8689,47.5,13.3
2025-01-09 23:00:00,271.188,47.5,13.3
2025-01-10 00:00:00,270.44482,47.5,13.3
2025-01-10 01:00:00,269.98438,47.5,13.3
2025-01-10 02:00:00,269.15356,47.5,13.3
2025-01-10 03:00:00,267.40698,47.5,13.3
2025-01-10 04:00:00,266.4956,47.5,13.3
2025-01-10 05:00:00,265.4275,47.5,13.3
2025-01-10 06:00:00,264.0293,47.5,13.3
2025-01-10 07:00:00,264.9331,47.5,13.3
2025-01-10 08:00:00,264.02563,47.5,13.3
2025-01-10 09:00:00,266.3247,47.5,13.3
2025-01-10 10:00:00,268.4663,47.5,13.3
2025-01-10 11:00:00,269.09937,47.5,13.3
2025-01-10 12:00:00,269.43115,47.5,13.3
2025-01-10 13:00:00,269.6814,47.5,13.3
2025-01-10 14:00:00,269.22705,47.5,13.3
2025-01-10 15:00:00,268.63794,47.5,13.3
2025-01-10 16:00:00,267.89478,47.5,13.3
2025-01-10 17:00:00,266.07642,47.5,13.3
2025-01-10 18:00:00,263.68115,47.5,13.3
2025-01-10 19:00:00,261.09497,47.5,13.3
2025-01-10 20:00:00,258.99048,47.5,13.3
2025-01-10 21:00:00,257.53247,47.5,13.3
2025-01-10 22:00:00,256.01904,47.5,13.3
2025-01-10 23:00:00,255.35468,47.5,13.3
2025-01-11 00:00:00,255.22397,47.5,13.3
2025-01-11 01:00:00,254.22179,47.5,13.3
2025-01-11 02:00:00,253.99915,47.5,13.3
2025-01-11 03:00:00,252.72311,47.5,13.3
2025-01-11 04:00:00,253.1261,47.5,13.3
2025-01-11 05:00:00,252.96518,47.5,13.3
2025-01-11 06:00:00,253.24368,47.5,13.3
2025-01-11 07:00:00,254.62471,47.5,13.3
2025-01-11 08:00:00,256.8296,47.5,13.3
2025-01-11 09:00:00,260.09424,47.5,13.3
2025-01-11 10:00:00,264.18115,47.5,13.3
2025-01-11 11:00:00,266.00146,47.5,13.3
2025-01-11 12:00:00,267.7085,47.5,13.3
2025-01-11 13:00:00,268.40625,47.5,13.3
2025-01-11 14:00:00,268.0796,47.5,13.3
2025-01-11 15:00:00,266.97217,47.5,13.3
2025-01-11 16:00:00,265.69287,47.5,13.3
2025-01-11 17:00:00,264.97754,47.5,13.3
2025-01-11 18:00:00,264.04492,47.5,13.3
2025-01-11 19:00:00,264.21436,47.5,13.3
2025-01-11 20:00:00,262.98633,47.5,13.3
2025-01-11 21:00:00,261.96167,47.5,13.3
2025-01-11 22:00:00,264.8545,47.5,13.3
2025-01-11 23:00:00,265.05444,47.5,13.3
2025-01-12 00:00:00,265.49707,47.5,13.3
2025-01-12 01:00:00,265.55273,47.5,13.3
2025-01-12 02:00:00,265.4834,47.5,13.3
2025-01-12 03:00:00,265.54663,47.5,13.3
2025-01-12 04:00:00,265.77783,47.5,13.3
2025-01-12 05:00:00,265.8877,47.5,13.3
2025-01-12 06:00:00,265.83765,47.5,13.3
2025-01-12 07:00:00,266.0984,47.5,13.3
2025-01-12 08:00:00,266.01025,47.5,13.3
2025-01-12 09:00:00,266.69873,47.5,13.3
2025-01-12 10:00:00,267.49634,47.5,13.3
2025-01-12 11:00:00,267.66235,47.5,13.3
2025-01-12 12:00:00,268.0879,47.5,13.3
2025-01-12 13:00:00,268.28247,47.5,13.3
2025-01-12 14:00:00,268.3645,47.5,13.3
2025-01-12 15:00:00,268.41113,47.5,13.3
